Time (s),x,y,z,,timestamps
0.17911598,0.689530075,5.353734493,7.161356449,179.11598,179115.98
0.18111578,0.658405483,5.389647484,7.15896225,181.11578,181115.78
0.18311578,0.603338838,5.435137272,7.125443459,183.11578,183115.78
0.185116146,0.565031588,5.451896667,7.08234787,185.116146,185116.146
0.187114879,0.531512797,5.451896667,7.051223278,187.114879,187114.879
0.189114845,0.493205547,5.432743073,7.003339291,189.114845,189114.845
0.191113945,0.459686726,5.380070686,6.960243702,191.113945,191113.945
0.193113045,0.44532153,5.356128693,6.953061104,193.113045,193113.045
0.195113011,0.428562105,5.30345583,6.938695908,195.113011,195113.011
0.197112977,0.378283858,5.238812447,6.943484306,197.112977,197112.977
0.199112943,0.339976639,5.193322659,6.9674263,199.112943,199112.943
0.201112909,0.316034615,5.126285076,7.048829079,201.112909,201112.909
0.203112909,0.289698392,5.064035892,7.161356449,203.112909,203112.909
0.205112942,0.280121595,5.037699699,7.230788231,205.112942,205112.942
0.207112975,0.272938997,5.032911301,7.364863873,207.112975,207112.975
0.209113008,0.251391172,5.0353055,7.510910034,209.113008,209113.008
0.211113908,0.20350714,5.025728703,7.671321392,211.113908,211113.908
0.213113941,0.174776718,5.040093899,7.740753174,213.113941,213113.941
0.215113974,0.117315881,5.104737282,7.908347607,215.113974,215113.974
0.217114007,0.107739076,5.143044472,8.073547363,217.114007,217114.007
0.219114007,0.110133275,5.169380665,8.169315338,219.114007,219114.007
0.221113973,0.126892686,5.234024048,8.370428085,221.113973,221113.973
0.223113939,0.172382519,5.267542839,8.564358711,223.113939,223113.939
0.225113905,0.213083953,5.286696434,8.648156166,225.113905,225113.905
0.227113871,0.320823014,5.327397823,8.794201851,227.113871,227113.871
0.229113837,0.404620081,5.363311291,8.949825287,229.113837,229113.837
0.231113303,0.44532153,5.375282288,9.021651268,231.113303,231113.303
0.233112436,0.526724398,5.420772076,9.155726433,233.112436,233112.436
0.235111569,0.624886632,5.456685066,9.273042679,235.111569,235111.569
0.237110735,0.66798228,5.468656063,9.323320389,237.110735,237110.735
0.239110768,0.770932972,5.461473465,9.385569572,239.110768,239110.768
0.241110801,0.869095206,5.483021259,9.368810654,241.110801,241110.801
0.243110834,0.89064306,5.485415459,9.354445457,243.110834,243110.834
0.245110867,0.909796655,5.494992256,9.397541046,245.110867,245110.867
0.2471109,0.876277804,5.475838661,9.438241959,247.1109,247110.9
0.249110933,0.830788016,5.473444462,9.45979023,249.110933,249110.933
0.251111833,0.732625723,5.502174854,9.474155426,251.111833,251111.833
0.253112699,0.675164878,5.533299446,9.476549149,253.112699,253112.699
0.255112699,0.648828685,5.542876244,9.466972351,255.112699,255112.699
0.257112699,0.620098233,5.59554863,9.414299965,257.112699,257112.699
0.259112699,0.541089594,5.67216301,9.364022255,259.112699,259112.699
0.261112699,0.454898328,5.7104702,9.320926666,261.112699,261112.699
0.263112699,0.37349546,5.743988991,9.227552414,263.112699,263112.699
0.265112665,0.227449164,5.791872978,9.119813919,265.112665,265112.665
0.267112631,0.093373865,5.818209171,9.028834343,267.112631,267112.631
0.269112597,0.026336219,5.818209171,8.983344078,269.112597,269112.597
0.271111697,-0.08379706,5.808632374,8.913911819,271.111697,271111.697
0.273110797,-0.158017308,5.796661377,8.880393028,273.110797,273110.797
0.275109897,-0.196324542,5.74638319,8.827720642,275.109897,275109.897
0.277108997,-0.260968,5.662586212,8.76068306,277.108997,277108.997
0.279108963,-0.280121595,5.566818237,8.731952667,279.108963,279108.963
0.281108963,-0.292092621,5.514145851,8.717587471,281.108963,281108.963
0.283108996,-0.263362199,5.392041683,8.717587471,283.108996,283108.996
0.285109029,-0.191536129,5.222053051,8.791808128,285.109029,285109.029
0.287109062,-0.124498487,5.123890877,8.820538521,287.109062,287109.062
0.289109095,0.071826048,4.896441936,8.885181427,289.109095,289109.095
0.291110028,0.320823014,4.625597477,9.071929932,291.110028,291110.028
0.293110928,0.438138902,4.493916512,9.261071205,293.110928,293110.928
0.295111828,0.577002585,4.285621166,9.737517357,295.111828,295111.828
0.297112694,0.505176544,4.125209332,10.1397438,297.112694,297112.694
0.29911266,0.351947635,4.098873138,10.27381897,299.11266,299112.66
0.301112626,-0.201112941,4.185064793,10.35043335,301.112626,301112.626
